incident_id,reason,responsible_dept,action_plan
INC-0130,Received Less,Dye Range,
INC-0131,Order Complete,Order Complete,
INC-0132,Received Less,Greige Stores,
INC-0133,Shade Variation,Dye Range,
INC-0134,Edge Damage,Jacquard,
INC-0135,Order Complete,Order Complete,
INC-0136,Sample Waste,Dye Range,
INC-0137,Dye Patch,Dye Range,
INC-0138,Bonding Damage,Value Addition,
INC-0139,Line,Sourcing,
INC-0140,Print damage,Value Addition,
INC-0141,Dye Patch,Dye Range,
INC-0142,Off Shade,Dye Range,
INC-0143,Face Damage,Weaving,
INC-0144,Order Complete,Order Complete,
INC-0145,Order Complete,Order Complete,
INC-0146,Order Complete,Order Complete,
INC-0147,Dye Patch,Dye Range,
INC-0148,Order Complete,Order Complete,
INC-0149,Off Shade,Dye Range,
INC-0150,Order Complete,Order Complete,
INC-0151,Dirt Marks,Dye Range,
INC-0152,Face Variation,Sourcing,
INC-0153,Order Complete,Order Complete,
INC-0154,Order Complete,Order Complete,
INC-0155,Off Shade,Dye Exhaust,
INC-0156,waste % Error,Dye Range,
INC-0157,5m waste,Packing,
INC-0158,Order Complete,Order Complete,
INC-0159,1mtr weight issue,Dye Range,
INC-0160,Received Less,Planning,
INC-0161,Uneven Edges,Weaving,
INC-0162,Shade Variation,Dye Range,
INC-0163,Wrong Quality,Greige Stores,
INC-0164,High letter length,Dye Exhaust,
INC-0165,Received Less,Dye Range,
INC-0166,Edge Damage,Jacquard,
INC-0167,Shade Variation,Dye Exhaust,
INC-0168,1mtr weight issue,Quality Assurance,
INC-0169,Dirt Marks,Dye Range,
INC-0170,1mtr weight issue,Quality Assurance,
INC-0171,Low Repeat Length,Jacquard,
INC-0172,Received Less,Dye Exhaust,
INC-0173,Patch,Dye Range,
INC-0174,1mtr weight issue,Quality Assurance,
INC-0175,Production Waste,Dye Exhaust,
INC-0176,Dye Patch,Dye Range,
INC-0177,Sample Waste,Dye Range,
INC-0178,Shade Variation,Dye Range,
INC-0179,Dirt Marks,Dye Range,
INC-0180,Patch,Dye Range,
INC-0181,5m waste,Packing,
INC-0182,Production Waste,Dye Range,
INC-0183,Received Less,Dye Exhaust,
INC-0184,5m waste,Packing,
INC-0185,Received Less,Planning,
INC-0186,Received Less,Greige Stores,
INC-0187,Received Less,Greige Stores,
INC-0188,Dye Patch,Dye Range,
INC-0189,Entangle,Dye Range,
INC-0190,Received Less,Greige Stores,
INC-0191,5m waste,Packing,
INC-0192,Received Less,Planning,
INC-0193,Received Less,Planning,
INC-0194,Received Less,Planning,
INC-0195,Low Repeat Length,Jacquard,
INC-0196,Stop Mark,Jacquard,
INC-0197,Received Less,Greige Stores,
INC-0198,Order Complete,Order Complete,
INC-0199,Received Less,Planning,
INC-0200,5m waste,Packing,
INC-0201,Received Less,Planning,
INC-0202,Received Less,Greige Stores,
INC-0203,1mtr weight issue,Stretchline-HNK,
INC-0204,Order Complete,Order Complete,
INC-0205,1mtr weight issue,Stretchline-HNK,
INC-0206,5m waste,Packing,
INC-0207,1mtr weight issue,Stretchline-SL,
INC-0208,Creas mark,Planning,
INC-0209,1mtr weight issue,Quality Assurance,
INC-0210,1mtr weight issue,Quality Assurance,
INC-0211,Received Less,Dye Exhaust,
INC-0212,Received Less,Planning,
INC-0213,Order Complete,Order Complete,
INC-0214,Order Complete,Order Complete,
INC-0215,Order Complete,Order Complete,
INC-0216,Received Less,Dye Range,
INC-0217,Received Less,Dye Range,
INC-0218,Received Less,Dye Exhaust,
INC-0219,Loop,Weaving,
INC-0220,Shade Variation,Weaving,
INC-0221,Edge Damage,Development,
INC-0222,Received Less,Greige Stores,
INC-0223,Received Less,Dye Range,
INC-0224,Off Shade,Dye Exhaust,
INC-0225,1mtr weight issue,Stretchline-Mexico,
INC-0226,5m waste,Packing,
INC-0227,Sample Waste,Dye Range,
INC-0228,Received Less,Planning,
INC-0229,Entangle,Dye Range,
INC-0230,Snagging,Dye Range,
INC-0231,Received Less,Greige Stores,
INC-0232,Patch,Dye Range,
INC-0233,Lines,Sourcing,
INC-0234,High Joint,Weaving,
INC-0235,Off Shade,Dye Range,
INC-0236,Wrong Joint,Jacquard,
INC-0237,Shade Variation,Dye Range,
INC-0238,Shade Variation,Dye Range,
INC-0239,Dirt Marks,Dye Range,
INC-0240,Dirt Marks,Preparation,
INC-0241,Off Shade(Old Greige),Sales,
INC-0242,Shade Variation,Dye Range,
INC-0243,Loop,Stretchline-Mexico,
INC-0244,1mtr weight issue,Stretchline-2,
INC-0245,Edge Damage,Stretchline-Mexico,
INC-0246,Width Variation,Stretchline-Mexico,
INC-0247,Received Less,Dye Range,
INC-0248,Dirt Marks,Weaving,
INC-0249,Scallop damage,Weaving,
INC-0250,Scallop damage,Weaving,
INC-0251,Scallop damage,Weaving,
INC-0252,Dirt Marks,Planning,
INC-0253,Shade Variation,Dye Exhaust,
INC-0254,Shade Variation,Dye Range,
INC-0255,Lines,Planning,
INC-0256,Lines,Sourcing,
INC-0257,Lines,Planning,
INC-0258,Shade Variation,Dye Range,
INC-0259,Curling,Development,
INC-0260,1mtr weight issue,Planning,
INC-0261,Patch,Sourcing,
INC-0262,Patch,Sourcing,
INC-0263,Patch,Sourcing,
INC-0264,Patch,Sourcing,
INC-0265,Shade Variation,Dye Range,
INC-0266,Production Waste,Dye Exhaust,
INC-0267,Routing Error,Color Lab,
INC-0268,5m waste,Packing,
INC-0269,1mtr weight issue,Stretchline-SL,
INC-0270,1mtr weight issue,Stretchline-Mexico,
INC-0271,Machine Breakdown,Maintenance,
INC-0272,5m waste,Packing,
INC-0273,Shade Variation,Dye Range,
INC-0274,Dirt Marks,Dye Range,
INC-0275,Shade Variation,Dye Range,
INC-0276,Less Ends,Packing,
INC-0277,Wrong Quality,Dye Exhaust,
INC-0278,1mtr weight issue,Stretchline-SL,
INC-0279,1mtr weight issue,Planning,
INC-0280,Received Less,Dye Range,
INC-0281,Patches,Dye Range,
INC-0282,Shade Variation,Dye Range,
INC-0283,Low Repeat Length,Planning,
INC-0284,1mtr weight issue,Stretchline-SL,
INC-0285,Dirt Marks,Dye Range,
INC-0286,Planning  Issue,Greige Stores,
INC-0287,Patches,Dye Range,
INC-0288,Shade Variation,Dye Range,
INC-0289,Shade Variation,Dye Range,
INC-0290,Belling,Dye Range,
INC-0291,Reverside variation,Weaving,
INC-0292,Shade Variation,Planning,
INC-0293,Received Less,Dye Range,
INC-0294,Patches,Dye Range,
INC-0295,1mtr weight issue,Stretchline-SL,
INC-0296,1mtr weight issue,Stretchline-SL,
INC-0297,Snagging,Stretchline-Mexico,
INC-0298,Print damage,Value Addition,
INC-0299,Dirt Marks,Dye Range,
INC-0300,Received Less,Dye Range,
INC-0301,Received Less,Planning,
INC-0302,Received Less,Dye Range,
INC-0303,Wrong  Width,Greige Stores,
INC-0304,Shade Variation,Dye Range,
INC-0305,1mtr weight issue,Planning,
INC-0306,1mtr weight issue,Stretchline-Mexico,
INC-0307,1mtr weight issue,Stretchline-Mexico,
INC-0308,1mtr weight issue,Stretchline-Mexico,
INC-0309,1mtr weight issue,Stretchline-Mexico,
INC-0310,1mtr weight issue,Stretchline-Mexico,
INC-0311,1mtr weight issue,Stretchline-Mexico,
INC-0312,5m waste,Packing,
INC-0313,Snagging,Stretchline-Mexico,
INC-0314,Order Complete,Order Complete,
INC-0315,Belling,Planning,
INC-0316,Reverside variation(Mixlot),TBC,
INC-0317,Reverside variation(Mixlot),TBC,
INC-0318,5m waste,Packing,
INC-0319,Order Complete,Order Complete,
INC-0320,Received Less,Value Addition,
INC-0321,Received Less,Value Addition,
INC-0322,1mtr weight issue,Stretchline-Mexico,
INC-0323,Received Less,Value Addition,
INC-0324,Snagging,Stretchline-Mexico,
INC-0325,Face Variation,Dye Exhaust,
INC-0326,Received Less,Dye Exhaust,
INC-0327,Snagging,Stretchline-Mexico,
INC-0328,Received Less,Dye Range,
INC-0329,Order Complete,Order Complete,
INC-0330,Received Less,Dye Range,
INC-0331,Loop,Stretchline-Mexico,
INC-0332,Edge Damage,Stretchline-Mexico,
INC-0333,Shade Variation,Dye Range,
INC-0334,Received Less,Value Addition,
INC-0335,Off Shade,Planning,
INC-0336,1mtr weight issue,Stretchline-SL,
INC-0337,Dirt Marks,Jacquard,
INC-0338,Off Shade,Dye Range,
INC-0339,Trial batch,Dye Exhaust,
INC-0340,Trial batch,Dye Exhaust,
INC-0341,Received Less,Dye Range,
INC-0342,Received Less,Dye Range,
INC-0343,Belling,Dye Range,
INC-0344,Patches,Value Addition,
INC-0345,Loop,Development,
INC-0346,FILAMENT ISSUE,Weaving,
INC-0347,Dirt Marks,Weaving,
INC-0348,Loop,Development,
INC-0349,Shade Variation,Planning,
INC-0350,1mtr weight issue,Stretchline-Mexico,
INC-0351,Received Less,Planning,
INC-0352,Shade Variation,Dye Range,
INC-0353,1mtr weight issue,Stretchline-SL,
INC-0354,Shade Variation,Dye Exhaust,
INC-0355,Dirt Marks,Yarn Dyeing,
INC-0356,Shade Variation,Dye Range,
INC-0357,1mtr weight issue,Stretchline-SL,
INC-0358,Off Shade,Dye Range,
INC-0359,Received Less,Value Addition,
INC-0360,Received Less,Dye Range,
INC-0361,1mtr weight issue,Stretchline-SL,
INC-0362,Yarn Missing,Weaving,
INC-0363,Wrong quality,Weaving,
INC-0364,Curling,Development,
INC-0365,High Letter Length,Dye Range,
INC-0366,Width Variation,Greige Stores,
INC-0367,Belling,Stretchline-Mexico,
INC-0368,Received Less,Dye Range,
INC-0369,Shade Variation,Dye Range,
INC-0370,Shade Variation,Dye Range,
INC-0371,1mtr weight issue,Stretchline-SL,
INC-0372,Received Less,Dye Range,
INC-0373,Received Less,Dye Range,
INC-0374,Received Less,Dye Range,
INC-0375,Received Less,Dye Range,
INC-0376,Loop,Jacquard,
INC-0377,1mtr weight issue,Stretchline-SL,
INC-0378,Received Less,Dye Range,
INC-0379,Loop,Development,
INC-0380,Received Less,Dye Range,
INC-0381,Received Less,Dye Range,
INC-0382,Received Less,Dye Range,
INC-0383,1mtr weight issue,Stretchline-SL,
INC-0384,1mtr weight issue,Stretchline-SL,
INC-0385,1mtr weight issue,Stretchline-SL,
INC-0386,Received Less,Dye Range,
INC-0387,1mtr weight issue,Stretchline-SL,
INC-0388,Received Less,Dye Exhaust,
INC-0389,Off Shade,Dye Exhaust,
INC-0390,Off Shade,Dye Exhaust,
INC-0391,Wrong Quality,Jacquard,
INC-0392,1mtr weight issue,Stretchline-Mexico,
INC-0393,Off Shade,Dye Exhaust,
INC-0394,Edge Damage,Stretchline-Mexico,
INC-0395,Shade Variation,Dye Range,
INC-0396,Received Less,Dye Range,
INC-0397,Received Less,Dye Range,
INC-0398,Loop,Development,
INC-0399,Loop,Weaving,
INC-0400,Edge Damage,Weaving,
INC-0401,Patches,Dye Range,
INC-0402,Dirt Marks,Dye Range,
INC-0403,Dirt Marks,Dye Range,
INC-0404,Lines,Jacquard,
INC-0405,1mtr weight issue,Stretchline-SL,
INC-0406,Off Shade,Planing,
INC-0407,Dirt Marks,Development,
INC-0408,1mtr weight issue,Stretchline-SL,
INC-0409,Off Shade,Dye Range,
INC-0410,Received Less,Dye Range,
INC-0411,Patches,Dye Range,
INC-0412,Dye patch,Dye Range,
INC-0413,Yarn Missing,Stretchline-2,
INC-0414,Yarn Missing,Stretchline-Mexico,
INC-0415,Dirt Marks,Planning,
INC-0416,Shade Variation,Dye Range,
INC-0417,Shade Variation,TBC,
INC-0418,Dirt Marks,Dye Range,
INC-0419,Off Shade,TBC,
INC-0420,Order Complete,Order Complete,
INC-0421,Shade Variation,Stretchline-Mexico,
INC-0422,Quality Issue,Greige Stores,
INC-0423,Dirt Marks,Stretchline-Mexico,
INC-0424,Snagging,Stretchline-Mexico,
INC-0425,1mtr weight issue,Stretchline-SL,
INC-0426,Low Repeat Length,Dye Range,
INC-0427,High Letter Length,Jacquard,
INC-0428,Patches,Stretchline-2,
INC-0429,Dirt Marks,Dye Range,
INC-0430,1mtr weight issue,Stretchline-SL,
INC-0431,Shade Variation,Dye Range,
INC-0432,Shade Variation,Dye Range,
INC-0433,Order Complete,Order Complete,
INC-0434,Order Complete,Order Complete,
INC-0435,1mtr weight issue,Stretchline-Mexico,
INC-0436,Received Less,Dye Exhaust,
INC-0437,Received Less,Value Addition,
INC-0438,Patches,Dye Exhaust,
INC-0439,Received Less,Dye Range,
INC-0440,Wrong Quality,Jacquard,
INC-0441,Dirt Marks,Dye Range,
INC-0442,1mtr weight issue,Stretchline-SL,
INC-0443,Received Less,Dye Exhaust,
INC-0444,Order Complete,Order Complete,
INC-0445,Received Less,Dye Exhaust,
INC-0446,Received Less,Dye Exhaust,
INC-0447,High Joint,Dye Range,
INC-0448,Off Shade,Dye Range,
INC-0449,Shade Variation,TBC,
INC-0450,Shade Variation,Dye Range,
INC-0451,Off Shade,Dye Range,
INC-0452,Order Complete,Order Complete,
INC-0453,Order Complete,Order Complete,
INC-0454,1mtr weight issue,Stretchline-SL,
INC-0455,Received Less,Dye Exhaust,
INC-0456,Received Less,Dye Exhaust,
INC-0457,Received Less,Dye Range,
INC-0458,Off Shade,Sourcing,
INC-0459,Patches,Sourcing,
INC-0460,Received Less,Dye Exhaust,
INC-0461,Production Waste,Dye Range,
INC-0462,5m waste,Packing,
INC-0463,Patches,Dye Range,
INC-0464,Received Less,Greige Stores,
INC-0465,Sample Waste,Dye Range,
INC-0466,Received Less,Dye Range,
INC-0467,Production Waste,Greige Stores,
INC-0468,Production Waste,Dye Range,
INC-0469,Dirt Marks,Greige Stores,
INC-0470,Loop,Jacquard,
INC-0471,Off Shade,Sourcing,
INC-0472,Off Shade,Sourcing,
INC-0473,1mtr weight issue,Mexico,
INC-0474,Patches,Dye Range,
INC-0475,Received Less,Greige Stores,
INC-0476,Order Complete,Order Complete,
INC-0477,Sample Waste,Dye Range,
INC-0478,Order Complete,Order Complete,
INC-0479,Shade Variation,Dye Range,
INC-0480,Shade Variation,Dye Range,
INC-0481,Off Shade,TBC,
INC-0482,Received Less,Dye Range,
INC-0483,Sample Waste,Dye Range,
INC-0484,Shade Variation,Dye Range,
INC-0485,Received Less,Dye Exhaust,
INC-0486,5m waste,Packing,
INC-0487,Received Less,Greige Stores,
INC-0488,Patches,Sourcing,
INC-0489,Face Damage,Dye Exhaust,
INC-0490,Planning Issue,Planning,
INC-0491,Crease Mark,Dye Range,
INC-0492,LOOP,Weaving,
INC-0493,Order Complete,Order Complete,
INC-0494,Dirt Marks,Weaving,
INC-0495,Patches,Dye Range,
INC-0496,Production Waste,Dye Range,
INC-0497,Production Waste,Greige Stores,
INC-0498,Received Less,Stretchline-2,
INC-0499,Production Waste,Dye Range,
INC-0500,Shade Variation,Dye Range,
INC-0501,Production Waste,Dye Exhaust,
INC-0502,Belling,Greige Stores,
INC-0503,1mtr weight issue,Stretchline-SL,
INC-0504,Received Less,Dye Range,
INC-0505,Snagging,Dye Range,
INC-0506,1mtr weight issue,Stretchline-SL,
INC-0507,1mtr weight issue,Stretchline-SL,
INC-0508,Received Less,Dye Exhaust,
INC-0509,1mtr weight issue,Stretchline-SL,
INC-0510,Dirt Marks,Dye Range,
INC-0511,Snagging,Stretchline-Mexico,
INC-0512,1mtr weight issue,Stretchline-Mexico,
INC-0513,Received Less,Dye Range,
INC-0514,Received Less,Dye Range,
INC-0515,Order Complete,Order Complete,
INC-0516,Order Complete,Order Complete,
INC-0517,Order Complete,Order Complete,
INC-0518,5m waste,Packing,
INC-0519,1mtr weight issue,Stretchline-SL,
INC-0520,Patches,Sourcing,
INC-0521,1mtr weight issue,Stretchline-SL,
INC-0522,5m waste,Packing,
INC-0523,1mtr weight issue,Stretchline-SL,
INC-0524,5m waste,Packing,
INC-0525,5m waste,Packing,
INC-0526,Dirt Marks,Stretchline-2,
INC-0527,1mtr weight issue,Mexico,
INC-0528,1mtr weight issue,Stretchline-SL,
INC-0529,Order Complete,Order Complete,
INC-0530,Planning Issue,Planning,
INC-0531,Order Complete,Order Complete,
INC-0532,Patches,Dye Range,
INC-0533,Patches,Sourcing,
INC-0534,Received Less,Greige Stores,
INC-0535,Order Complete,Order Complete,
INC-0536,Patches,Dye Range,
INC-0537,Patches,Sourcing,
INC-0538,Received Less,TBC,
INC-0539,1mtr weight issue,Stretchline-SL,
INC-0540,5m waste,Packing,
INC-0541,1mtr weight issue,Stretchline-SL,
INC-0542,Lines,Sourcing,
INC-0543,Dirt Marks,Yarn Dyeing,
INC-0544,Lines,Sourcing,
INC-0545,1mtr weight issue,Stretchline-SL,
INC-0546,Received Less,Dye Range,
INC-0547,5m waste,Packing,
INC-0548,1mtr weight issue,Stretchline-SL,
INC-0549,Patches,Sourcing,
INC-0550,Patches,Sourcing,
INC-0551,Patches,Sourcing,
INC-0552,Patches,Sourcing,
INC-0553,Patches,Sourcing,
INC-0554,Patches,Sourcing,
INC-0555,Received Less,Greige Stores,
INC-0556,5m waste,Packing,
INC-0557,1mtr weight issue,Stretchline-SL,
INC-0558,Order Complete,Order Complete,
INC-0559,Order Complete,Order Complete,
INC-0560,Received Less,Greige Stores,
INC-0561,Dirt Marks,Yarn Dyeing,
INC-0562,Shade Variation,Dye Range,
INC-0563,5m waste,Packing,
INC-0564,Shade variation,Dye Range,
INC-0565,Received Less,Dye Range,
INC-0566,Received Less,Dye Range,
INC-0567,Patches,Dye Range,
INC-0568,Patches,Sourcing,
INC-0569,Snagging,Dye Exhaust,
INC-0570,Patches,Sourcing,
INC-0571,1mtr weight issue,Stretchline-SL,
INC-0572,1mtr weight issue,Stretchline-SL,
INC-0573,1mtr weight issue,Stretchline-SL,
INC-0574,Shade Variation,Dye Range,
INC-0575,1mtr weight issue,Stretchline-SL,
INC-0576,Off Shade,Dye Exhaust,
INC-0577,Patches,Sourcing,
INC-0578,Received Less,Dye Range,
INC-0579,Patches,Dye Range,
INC-0580,Snagging,Dye Range,
INC-0581,5m waste,Packing,
INC-0582,Patches,Dye Range,
INC-0583,Received Less,Greige Stores,
INC-0584,Dirt Marks,Dye Range,
INC-0585,Patches,Dye Range,
INC-0586,Shade Variation,Dye Range,
INC-0587,Received Less,Greige Stores,
INC-0588,Shade Variation,Stretchline-2,
INC-0589,Shade Variation,Dye Range,
INC-0590,Edge Damage,Stretchline-Mexico,
INC-0591,Received Less,Dye Range,
INC-0592,Received Less,Dye Range,
INC-0593,Patches,Sourcing,
INC-0594,Shade Variation,Dye Range,
INC-0595,Snagging,Stretchline-Mexico,
INC-0596,Edge Damage,Stretchline-Mexico,
INC-0597,Loop,Stretchline-Mexico,
INC-0598,1mtr weight issue,Stretchline-SL,
INC-0599,Dirt Marks,Dye Range,
INC-0600,Wrong Width,Weaving,
INC-0601,Shade Variation,Dye Range,
INC-0602,1mtr weight issue,Stretchline-Mexico,
INC-0603,5m waste,Packing,
INC-0604,1mtr weight issue,Stretchline-SL,
INC-0605,5m waste,Packing,
INC-0606,1mtr weight issue,Stretchline-SL,
INC-0607,Order Complete,Order Complete,
INC-0608,Order Complete,Order Complete,
INC-0609,Order Complete,Order Complete,
INC-0610,Off Shade,Dye Range,
INC-0611,Off Shade,Dye Range,
INC-0612,Shade Variation,Dye Range,
INC-0613,Shade Variation,Dye Range,
INC-0614,Lines,Sourcing,
INC-0615,Patches,Sourcing,
INC-0616,Shade Variation,Sourcing,
INC-0617,Patches,Sourcing,
INC-0618,Sample Waste,Dye Range,
INC-0619,Dye patch,Dye Range,
INC-0620,Low Repeat Length,Dye Exhaust,Product should be developed
INC-0621,Reverside variation,Sourcing,
INC-0622,Patches,Sourcing,
INC-0623,Batch Missing,Dye Range,
INC-0624,Edge Damage,Stretchline-Mexico,
INC-0625,Snagging,Stretchline-Mexico,
INC-0626,Patches,Sourcing,
INC-0627,Patches,Dye Range,
INC-0628,Shade Variation,Dye Range,
INC-0629,Reverside variation,Dye Range,
INC-0630,Received Less,Greige Stores,
INC-0631,Off Shade,Dye Range,
INC-0632,NLDA,NLDA,
INC-0633,High Joint,Development,
INC-0634,1mtr weight issue,Stretchline-SL,
INC-0635,Shade Variation,Dye Range,
INC-0636,Edge Damage,Stretchline-Mexico,
INC-0637,Off Shade,Dye Range,
INC-0638,Quality Issue,Dye Range,
INC-0639,Received Less,Stretchline-SL,
INC-0640,Shade variation,Weaving,
INC-0641,Patches,Dye Range,
INC-0642,1mtr weight issue,Stretchline-SL,
INC-0643,1mtr weight issue,Stretchline-Mexico,
INC-0644,1mtr weight issue,Stretchline-SL,
INC-0645,Patches,Sourcing,
INC-0646,Patches,Sourcing,
INC-0647,Patches,Sourcing,
INC-0648,Stop Mark,Weaving,
INC-0649,Reduction of Production Order,Planning,
INC-0650,Received Less,Greige Stores,
INC-0651,Received Less,Greige Stores,
INC-0652,Shade Variation,Dye Range,
INC-0653,Received Less,Dye Range,
INC-0654,Lines,Weaving,
INC-0655,1mtr weight issue,Stretchline-SL,
INC-0656,1mtr weight issue,Stretchline-Mexico,
INC-0657,High Letter Length,Development,
INC-0658,1mtr weight issue,Stretchline-SL,
INC-0659,Patches,Sourcing,
INC-0660,Patches,Sourcing,
INC-0661,Patches,Sourcing,
INC-0662,Received Less,Dye Range,
INC-0663,High Joint,Dye Exhaust,
INC-0664,Received Less,Greige Stores,
INC-0665,Stop Mark,Stretchline-2,
INC-0666,Slack Rubber,Dye Exhaust,
INC-0667,Order Complete,Order Complete,
INC-0668,Received Less,Greige Stores,
INC-0669,1mtr weight issue,Stretchline-SL,
INC-0670,Received Less,Greige Stores,
INC-0671,Received Less,Greige Stores,
INC-0672,1mtr weight issue,Stretchline-Mexico,
INC-0673,Received Less,Dye Exhaust,
INC-0674,Order Complete,Order Complete,
INC-0675,Order Complete,Order Complete,
INC-0676,Shade Variation,Dye Range,
INC-0677,Shade variation,Dye Range,
INC-0678,Patches,Dye Range,
INC-0679,Scallop damage,Dye Range,
INC-0680,Patches,Dye Range,
INC-0681,1mtr weight issue,Stretchline-SL,
INC-0682,Received Less,Dye Range,
INC-0683,1mtr weight issue,Stretchline-SL,
INC-0684,1mtr weight issue,Stretchline-SL,
INC-0685,Received Less,Dye Range,
INC-0686,Patches,Dye Range,
INC-0687,1mtr weight issue,Stretchline-SL,
INC-0688,Wrong Width,Color Lab,
INC-0689,1mtr weight issue,Stretchline-Mexico,
INC-0690,Shade Variation,Dye Range,
INC-0691,Edge Damage,Stretchline-Mexico,
INC-0692,1mtr weight issue,Stretchline-SL,
INC-0693,1mtr weight issue,Stretchline-Mexico,
INC-0694,Dirt Marks,Dye Range,
INC-0695,Patches,Dye Range,
INC-0696,Dirt Marks,Dye Range,
INC-0697,Snagging,Stretchline-Mexico,
INC-0698,Stop Mark,Weaving,
INC-0699,Received Less,Dye Range,
INC-0700,1mtr weight issue,Stretchline-SL,
INC-0701,See-through,Stretchline-2,
INC-0702,1mtr weight issue,Stretchline-SL,
